Created as New Dataset,Sample 001 By IIST Date Wednesday, June 23 2021
cm-1,%T
4000.00,101.39
3999.00,101.39
3998.00,101.39
3997.00,101.39
3996.00,101.38
3995.00,101.38
3994.00,101.37
3993.00,101.37
3992.00,101.36
3991.00,101.36
3990.00,101.36
3989.00,101.37
3988.00,101.38
3987.00,101.38
3986.00,101.39
3985.00,101.39
3984.00,101.39
3983.00,101.39
3982.00,101.39
3981.00,101.38
3980.00,101.37
3979.00,101.37
3978.00,101.36
3977.00,101.36
3976.00,101.37
3975.00,101.37
3974.00,101.37
3973.00,101.37
3972.00,101.38
3971.00,101.39
3970.00,101.40
3969.00,101.41
3968.00,101.41
3967.00,101.40
3966.00,101.39
3965.00,101.38
3964.00,101.38
3963.00,101.37
3962.00,101.37
3961.00,101.37
3960.00,101.37
3959.00,101.37
3958.00,101.37
3957.00,101.37
3956.00,101.38
3955.00,101.38
3954.00,101.38
3953.00,101.37
3952.00,101.36
3951.00,101.36
3950.00,101.35
3949.00,101.35
3948.00,101.36
3947.00,101.37
3946.00,101.38
3945.00,101.39
3944.00,101.40
3943.00,101.41
3942.00,101.41
3941.00,101.41
3940.00,101.40
3939.00,101.40
3938.00,101.40
3937.00,101.40
3936.00,101.39
3935.00,101.38
3934.00,101.36
3933.00,101.35
3932.00,101.35
3931.00,101.35
3930.00,101.36
3929.00,101.37
3928.00,101.37
3927.00,101.38
3926.00,101.39
3925.00,101.39
3924.00,101.39
3923.00,101.38
3922.00,101.37
3921.00,101.37
3920.00,101.38
3919.00,101.38
3918.00,101.39
3917.00,101.39
3916.00,101.40
3915.00,101.40
3914.00,101.41
3913.00,101.42
3912.00,101.44
3911.00,101.45
3910.00,101.45
3909.00,101.44
3908.00,101.42
3907.00,101.39
3906.00,101.37
3905.00,101.35
3904.00,101.35
3903.00,101.35
3902.00,101.35
3901.00,101.36
3900.00,101.37
3899.00,101.38
3898.00,101.38
3897.00,101.38
3896.00,101.39
3895.00,101.40
3894.00,101.41
3893.00,101.42
3892.00,101.42
3891.00,101.42
3890.00,101.42
3889.00,101.41
3888.00,101.41
3887.00,101.43
3886.00,101.44
3885.00,101.43
3884.00,101.40
3883.00,101.38
3882.00,101.37
3881.00,101.39
