Baseline 100%T,,Baseline 100%T,,Baseline 100%T,,sample1,,sample 5 with P b 10mM 50UL,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
800,-0.009053946473,800,-0.008677053265,800,-0.009199897759,800,0.008734137751,800,0.06335021555,
799,-0.007866514847,799,-0.008258537389,799,-0.0083441725,799,0.008344183676,799,0.06429617852,
798,-0.007973982953,798,-0.008324822411,798,-0.007732269354,798,0.007620828226,798,0.06427300721,
797,-0.008653759956,797,-0.00844913628,797,-0.00767148938,797,0.006766272709,797,0.06425790489,
796,-0.008618486114,796,-0.007620621007,796,-0.009096586145,796,0.008980074897,796,0.06536451727,
795,-0.007121387403,795,-0.008117096499,795,-0.007778496947,795,0.008023844101,795,0.06472776085,
794,-0.007961529307,794,-0.008451675065,794,-0.007258316502,794,0.007220528089,794,0.06391081214,
793,-0.00735733239,793,-0.008836068213,793,-0.007680136245,793,0.007635449525,793,0.06460074335,
792,-0.007481516339,792,-0.007757189218,792,-0.008463301696,792,0.007560978178,792,0.06638409197,
791,-0.007792888209,791,-0.008001531474,791,-0.006990987342,791,0.006484010257,791,0.06417354941,
790,-0.008150682785,790,-0.007501616608,790,-0.007435867563,790,0.006587179378,790,0.06554229558,
789,-0.007910236716,789,-0.008007579483,789,-0.007743509021,789,0.007820906118,789,0.06707264483,
788,-0.007718384732,788,-0.007560690399,788,-0.008156728931,788,0.008572184481,788,0.06702186912,
787,-0.008493256755,787,-0.007901340723,787,-0.006976569537,787,0.007235688623,787,0.06707753986,
786,-0.008550825529,786,-0.007764664944,786,-0.007332338952,786,0.007939999923,786,0.06663562357,
785,-0.007324550301,785,-0.008085387759,785,-0.007171703037,785,0.007724926807,785,0.06724236906,
784,-0.007104427088,784,-0.007451287936,784,-0.008180100471,784,0.008188970387,784,0.0685166195,
783,-0.007386702113,783,-0.007784243673,783,-0.00815484859,783,0.008541426621,783,0.06867422909,
782,-0.007783582434,782,-0.006338806357,782,-0.007798329461,782,0.008740424179,782,0.06796339899,
781,-0.008098752238,781,-0.007553669158,781,-0.007136360276,781,0.00755202258,781,0.06811259687,
780,-0.007053084671,780,-0.007839312777,780,-0.007028634194,780,0.007572199684,780,0.06729156524,
779,-0.007202103734,779,-0.006889390294,779,-0.006658697035,779,0.007488047238,779,0.06812949479,
778,-0.007386804093,778,-0.007732472848,778,-0.006948343944,778,0.007166233379,778,0.06781312823,
777,-0.007491032127,777,-0.007259080186,777,-0.007650278043,777,0.008711925708,777,0.07069458067,
776,-0.006707231514,776,-0.007241157815,776,-0.007895290852,776,0.009085002355,776,0.07010766864,
775,-0.007465282921,775,-0.007400037255,775,-0.00725230854,775,0.008283574134,775,0.06940113753,
774,-0.008225264028,774,-0.007523191161,774,-0.006813559681,774,0.007991068996,774,0.06947148591,
773,-0.007505381946,773,-0.006966634654,773,-0.007417036686,773,0.008617360145,773,0.07076184452,
772,-0.007049162872,772,-0.008263820782,772,-0.007128008176,772,0.00769947283,772,0.07032535225,
771,-0.006811266299,771,-0.007736999076,771,-0.00673633907,771,0.007360914722,771,0.07003880292,
770,-0.006597868633,770,-0.006401354447,770,-0.006827829871,770,0.007907389663,770,0.0712287277,
769,-0.007248031441,769,-0.007228428964,769,-0.007020635996,769,0.007532663178,769,0.07080349326,
768,-0.006659870036,768,-0.007832855918,768,-0.00663600862,768,0.007347513922,768,0.0718677938,
767,-0.006703255232,767,-0.007175471634,767,-0.006197044626,767,0.007617666852,767,0.07078959793,
766,-0.007251799107,766,-0.006937593222,766,-0.007044374477,766,0.008118017577,766,0.07218383253,
765,-0.005644508637,765,-0.006891632453,765,-0.006181273609,765,0.007466610055,765,0.0711813271,
764,-0.006967806257,764,-0.007187132724,764,-0.00645144796,764,0.006883368827,764,0.07222830504,
763,-0.00677788211,763,-0.006490671542,763,-0.006895760074,763,0.008447796106,763,0.07253848761,
762,-0.006573392078,762,-0.006603834685,762,-0.007105496712,762,0.007925105281,762,0.07246149331,
761,-0.006592463702,761,-0.006699992344,761,-0.00709811179,761,0.008172219619,761,0.07325829566,
760,-0.007098315284,760,-0.006997304503,760,-0.006563856266,760,0.006976347417,760,0.07358083129,
759,-0.006953286007,759,-0.005888714455,759,-0.006951961201,759,0.008152885363,759,0.07292717695,
