Baseline 100%T,,Baseline 100%T,,sample4,,sample5 with diliution,,sample5 with diliution1 with Pb 100 ul 10Mm,,sample5 with diliution1 with Pb 100 ul 10Mm1 with dilu,,optimized sample 7,,optimized sample 7 with Pb,,optimized sample 7 with Pb dilution 100ul,,optimized sample 7 with Pb dilution 100ul1,,optimized sample 7 with Pb dilution 300ul,,optimized sample 7 with Pb dilution 500ul,,optimized sample 7 with Pb dilution 1ml,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs
800,-0.008771789,800,-0.007921015,800,0.083550952,800,0.023046032,800,0.424596459,800,0.836579204,800,0.036324248,800,0.37602371,800,-0.510569334,800,0.42677632,800,0.409782618,800,0.391998321,800,0.349897325
799,-0.007237441,799,-0.007886953,799,0.084948041,799,0.024850512,799,0.427724898,799,0.840240121,799,0.036685403,799,0.377629042,799,-0.510077357,799,0.428069532,799,0.410268396,799,0.393680722,799,0.349815935
798,-0.007983437,798,-0.00743602,798,0.084720418,798,0.02461734,798,0.427837402,798,0.839994609,798,0.036163658,798,0.378763646,798,-0.508541167,798,0.426528603,798,0.410971761,798,0.393611789,798,0.350904465
797,-0.008622547,797,-0.006761061,797,0.083204843,797,0.023454037,797,0.428109825,797,0.841258526,797,0.0344638,797,0.378732324,797,-0.507151544,797,0.426778436,797,0.411586314,797,0.393049568,797,0.350504845
796,-0.00724126,796,-0.007281991,796,0.085076176,796,0.023561917,796,0.428752333,796,0.843684554,796,0.036151983,796,0.38078168,796,-0.505421162,796,0.429454774,796,0.412270933,796,0.394657016,796,0.351940602
795,-0.007078757,795,-0.008074461,795,0.085125208,795,0.024770809,795,0.431594491,795,0.845040619,795,0.037600152,795,0.381979138,795,-0.503120661,795,0.431420296,795,0.414519548,795,0.39611426,795,0.353583932
794,-0.007292224,794,-0.006699024,794,0.08357273,794,0.023491086,794,0.432072163,794,0.846861899,794,0.035164513,794,0.381670088,794,-0.502065182,794,0.43238616,794,0.41415754,794,0.394304782,794,0.351524085
793,-0.007541407,793,-0.006381816,793,0.083379067,793,0.023051737,793,0.433090329,793,0.846970677,793,0.035569571,793,0.383720994,793,-0.500688911,793,0.432836413,793,0.415175587,793,0.395674318,793,0.354154915
792,-0.008075021,792,-0.006789401,792,0.084657654,792,0.022751546,792,0.433346003,792,0.850790024,792,0.036180906,792,0.384174436,792,-0.49866426,792,0.434494495,792,0.41614452,792,0.397706866,792,0.354205936
791,-0.007437242,791,-0.007552906,791,0.08422929,791,0.024013137,791,0.436152518,791,0.853261232,791,0.036587816,791,0.386791676,791,-0.49643001,791,0.43558687,791,0.41794005,791,0.399100065,791,0.355057865
790,-0.007417342,790,-0.007088129,790,0.083026171,790,0.023182264,790,0.435619682,790,0.853246868,790,0.035473775,790,0.387755334,790,-0.495286346,790,0.436598957,790,0.418825626,790,0.399537534,790,0.356079996
789,-0.00692939,789,-0.006232056,789,0.083052933,789,0.023490213,789,0.437218636,789,0.854020715,789,0.035334531,789,0.387263835,789,-0.494408906,789,0.435681999,789,0.418433636,789,0.39884001,789,0.355131745
788,-0.006909671,788,-0.007539117,788,0.084143035,788,0.024742145,788,0.438650906,788,0.858029902,788,0.037112128,788,0.389867663,788,-0.491644859,788,0.43797642,788,0.420736402,788,0.40017879,788,0.356967151
787,-0.006944573,787,-0.007114002,787,0.083036922,787,0.023972349,787,0.441724271,787,0.859053552,787,0.036608204,787,0.390502363,787,-0.489658713,787,0.439055085,787,0.42094323,787,0.402543157,787,0.357960135
786,-0.007182906,786,-0.007077381,786,0.084007703,786,0.024948049,786,0.442712992,786,0.860774159,786,0.036917116,786,0.392495155,786,-0.488052189,786,0.441068828,786,0.422493726,786,0.401980966,786,0.358429104
785,-0.007044935,785,-0.007156476,785,0.083140634,785,0.023754057,785,0.442845672,785,0.863060534,785,0.036233973,785,0.393740833,785,-0.48678115,785,0.4420003,785,0.423434347,785,0.403008461,785,0.358618856
784,-0.006992821,784,-0.006501535,784,0.082657553,784,0.023483135,784,0.442771614,784,0.862906456,784,0.036845762,784,0.394170225,784,-0.48542586,784,0.442519009,784,0.424026668,784,0.403251112,784,0.358509272
783,-0.006517907,783,-0.006364521,783,0.083760008,783,0.022577217,783,0.44471851,783,0.865392625,783,0.034950174,783,0.394743234,783,-0.483855397,783,0.442989081,783,0.423982412,783,0.404310763,783,0.358894706
782,-0.006890104,782,-0.006967297,782,0.082561001,782,0.023809563,782,0.447475284,782,0.867460668,782,0.036319491,782,0.397050649,782,-0.481847584,782,0.444707334,782,0.425835639,782,0.405715227,782,0.360904574
781,-0.006890359,781,-0.006621987,781,0.083280876,781,0.023451084,781,0.448387772,781,0.867517531,781,0.035527121,781,0.397746146,781,-0.480182111,781,0.444661051,781,0.426488757,781,0.405729622,781,0.359790355
780,-0.00716106,780,-0.007151944,780,0.083219074,780,0.024477344,780,0.45028469,780,0.87026751,780,0.037768558,780,0.398530275,780,-0.477800518,780,0.447562456,780,0.426993758,780,0.407002509,780,0.362528175
779,-0.007383546,779,-0.005827114,779,0.083756804,779,0.022667019,779,0.448335022,779,0.871426225,779,0.035094541,779,0.398919672,779,-0.47717157,779,0.447171748,779,0.426719695,779,0.405567139,779,0.360724926
778,-0.005969303,778,-0.005904905,778,0.082406059,778,0.023312228,778,0.450741977,778,0.873825014,778,0.03624469,778,0.399843752,778,-0.47485283,778,0.447657526,778,0.427907497,778,0.407881647,778,0.36052835
777,-0.007133661,777,-0.006831041,777,0.083824053,777,0.023955856,777,0.453335941,777,0.875372648,777,0.036544587,777,0.401867479,777,-0.471949846,777,0.451222748,777,0.430428714,777,0.409626424,777,0.363211066
776,-0.007130554,776,-0.006991853,776,0.083875299,776,0.024587506,776,0.454293579,776,0.877450287,776,0.036884736,776,0.403012663,776,-0.469934583,776,0.451619506,776,0.430208534,776,0.409352481,776,0.363933206
775,-0.0066304,775,-0.006678835,775,0.083306469,775,0.024463074,775,0.455599129,775,0.87901026,775,0.036183972,775,0.404045999,775,-0.467461944,775,0.451542378,775,0.431457102,775,0.410309732,775,0.364010006
774,-0.006387581,774,-0.006940803,774,0.083453916,774,0.024062959,774,0.455709517,774,0.881696641,774,0.037169904,774,0.405984491,774,-0.464520395,774,0.452193022,774,0.431637585,774,0.412307143,774,0.364971876
773,-0.006546007,773,-0.006895097,773,0.083684325,773,0.02455743,773,0.457938165,773,0.883080363,773,0.037425321,773,0.407245189,773,-0.462876797,773,0.454399973,773,0.433734417,773,0.412547082,773,0.36514774
